Squadra,Ruolo,Calciatore,Squadra,V.Acq.
Chentus,P,Corvi,PAR,3
Chentus,P,De Gea,FIO,85
Chentus,P,Suzuki,PAR,13
Chentus,D,Bellanova,ATA,52
Chentus,D,Coco,TOR,1
Chentus,D,Delprato,PAR,11
Chentus,D,Di Lorenzo,NAP,60
Chentus,D,Gutierrez,NAP,3
Chentus,D,Joao Mario,BOL,13
Chentus,D,Mancini,ROM,31
Chentus,D,Tomori,MIL,26
Chentus,C,Adzic,JUV,21
Chentus,C,Casadei,TOR,11
Chentus,C,Frendrup,GEN,7
Chentus,C,Locatelli,JUV,9
Chentus,C,McTominay,NAP,122
Chentus,C,Pasalic,ATA,31
Chentus,C,Pierotti,LEC,1
Chentus,C,Saelemaekers,MIL,79
Chentus,A,Bonazzoli,CRE,4
Chentus,A,Dovbyk,ROM,24
Chentus,A,Morata,COM,9
Chentus,A,Ratkov,LAZ,29
Chentus,A,Solomon,FIO,1
Chentus,A,Thuram,INT,306
Compagnia Ascolana Sigari,P,Martinez Jo.,INT,5
Compagnia Ascolana Sigari,P,Paleari,TOR,1
Compagnia Ascolana Sigari,P,Sommer,INT,100
Compagnia Ascolana Sigari,D,Angori,PIS,15
Compagnia Ascolana Sigari,D,Baschirotto,CRE,3
Compagnia Ascolana Sigari,D,Bastoni,INT,56
Compagnia Ascolana Sigari,D,Celik,ROM,5
Compagnia Ascolana Sigari,D,Gatti,JUV,15
Compagnia Ascolana Sigari,D,Hermoso,ROM,6
Compagnia Ascolana Sigari,D,Kristensen T.,UDI,27
Compagnia Ascolana Sigari,D,Maripan,TOR,6
Compagnia Ascolana Sigari,C,Atta,UDI,30
Compagnia Ascolana Sigari,C,Cataldi,LAZ,1
Compagnia Ascolana Sigari,C,De Roon,ATA,28
Compagnia Ascolana Sigari,C,Ederson D.S.,ATA,46
Compagnia Ascolana Sigari,C,Frattesi,INT,13
Compagnia Ascolana Sigari,C,Mandragora,FIO,44
Compagnia Ascolana Sigari,C,Perrone,COM,35
Compagnia Ascolana Sigari,C,Zambo Anguissa,NAP,50
Compagnia Ascolana Sigari,A,Adams C.,TOR,36
Compagnia Ascolana Sigari,A,Bonny,INT,35
Compagnia Ascolana Sigari,A,Douvikas,COM,24
Compagnia Ascolana Sigari,A,Esposito F.P.,INT,45
Compagnia Ascolana Sigari,A,Giovane,NAP,33
Compagnia Ascolana Sigari,A,Soulè,ROM,187
MALLOREDDUS FC,P,Audero,CRE,1
MALLOREDDUS FC,P,Carnesecchi,ATA,92
MALLOREDDUS FC,P,Sportiello,ATA,1
MALLOREDDUS FC,D,Dumfries,INT,79
MALLOREDDUS FC,D,Gabbia,MIL,10
MALLOREDDUS FC,D,Muharemovic,SAS,4
MALLOREDDUS FC,D,Obert,CAG,1
MALLOREDDUS FC,D,Rrahmani,NAP,25
MALLOREDDUS FC,D,Tiago Gabriel,LEC,3
MALLOREDDUS FC,D,Valle,COM,5
MALLOREDDUS FC,D,Wesley,ROM,50
MALLOREDDUS FC,C,Basic,LAZ,1
MALLOREDDUS FC,C,Ellertsson,GEN,3
MALLOREDDUS FC,C,Fagioli,FIO,1
MALLOREDDUS FC,C,Fofana Y.,MIL,31
MALLOREDDUS FC,C,Miretti,JUV,1
MALLOREDDUS FC,C,Nicolussi Caviglia,PAR,1
MALLOREDDUS FC,C,Orsolini,BOL,157
MALLOREDDUS FC,C,Thuram K.,JUV,69
MALLOREDDUS FC,A,Colombo,GEN,31
MALLOREDDUS FC,A,Djuric,CRE,1
MALLOREDDUS FC,A,Kilicsoy,CAG,93
MALLOREDDUS FC,A,Simeone,TOR,42
MALLOREDDUS FC,A,Vardy,CRE,24
MALLOREDDUS FC,A,Zapata D.,TOR,18
Mapi Group,P,Gollini,ROM,1
Mapi Group,P,Svilar,ROM,103
Mapi Group,P,Vasquez D.,ROM,1
Mapi Group,D,Estupinan,MIL,42
Mapi Group,D,Idzes,SAS,1
Mapi Group,D,Lucumì,BOL,1
Mapi Group,D,N'Dicka,ROM,33
Mapi Group,D,Ostigard,GEN,3
Mapi Group,D,Palestra,CAG,31
Mapi Group,D,Scalvini,ATA,19
Mapi Group,D,Vojvoda,COM,13
Mapi Group,C,Ekkelenkamp,UDI,16
Mapi Group,C,Konè I.,SAS,1
Mapi Group,C,Konè M.,ROM,62
Mapi Group,C,Maldini,LAZ,14
Mapi Group,C,Ondrejka,PAR,6
Mapi Group,C,Politano,NAP,72
Mapi Group,C,Zaniolo,UDI,35
Mapi Group,C,Zhegrova,JUV,60
Mapi Group,A,Diao,COM,7
Mapi Group,A,Leao,MIL,260
Mapi Group,A,Openda,JUV,54
Mapi Group,A,Orban G.,VER,55
Mapi Group,A,Piccoli,FIO,58
Mapi Group,A,Vitinha O.,GEN,29
